# era5_prcp_-0.17_31.37  era5_prcp_-1.86_34.52  era5_prcp_-1.94_35.1  era5_prcp_-1.83_30.42
0.502 0.019 0.096 0.293
0.682 0.106 0.036 0.078
0.986 0.014 0.005 0.145
0.372 0.000 0.000 0.000
1.121 0.000 0.000 0.000
0.005 0.001 0.001 0.001
0.001 0.010 0.040 0.001
0.126 0.217 0.042 0.000
0.206 0.214 0.315 0.011
1.152 0.251 0.132 0.034
1.153 0.088 0.440 0.009
0.168 0.599 1.187 0.323
0.820 3.295 0.021 0.032
11.354 11.794 1.231 0.171
2.976 13.987 2.595 0.840
1.564 2.647 1.675 0.758
4.281 1.763 3.559 2.306
1.086 0.408 1.791 0.282
1.242 0.087 0.240 0.001
5.034 0.102 0.124 0.001
0.911 0.404 0.119 0.014
0.961 0.147 0.291 0.017
0.001 0.154 0.227 0.000
1.936 0.786 0.208 0.011
1.077 0.181 0.396 0.546
3.632 1.385 0.252 0.928
1.835 5.168 3.750 0.229
0.301 1.692 1.234 5.923
0.944 3.424 5.223 4.538
4.670 7.372 8.145 7.426
1.176 0.339 0.310 5.602
0.838 0.328 0.218 0.718
0.358 3.507 0.968 0.810
0.320 0.598 1.313 0.002
0.015 0.115 0.170 0.001
0.560 0.515 1.473 0.006
1.424 0.073 0.186 0.001
0.462 0.003 0.150 0.006
0.053 0.435 0.475 0.000
0.000 0.177 0.475 0.000
0.002 0.703 0.028 0.002
0.010 0.084 0.067 0.001
0.002 0.002 0.032 0.002
0.000 0.001 0.000 0.000
0.000 0.017 0.041 0.000
0.000 0.546 0.092 0.000
0.285 0.002 0.041 0.002
0.524 0.013 0.083 0.000
0.347 0.000 0.000 0.000
0.047 0.001 0.001 0.001
0.028 0.329 0.436 0.000
0.015 0.516 0.096 0.000
0.295 0.050 0.038 0.007
2.570 0.004 0.019 0.002
0.530 0.202 0.211 0.002
0.137 6.267 4.094 0.003
0.047 1.223 2.961 0.003
2.729 1.323 0.178 0.001
1.401 1.801 2.339 0.023
4.536 8.659 6.315 7.707
1.593 1.283 2.075 9.309
9.725 0.271 0.161 1.259
7.880 1.207 0.216 0.029
0.717 0.392 0.026 0.783
0.997 0.005 0.025 0.000
0.239 0.018 0.091 0.002
0.194 0.035 0.003 0.001
