# Cairo	Aswand	Merowe	Karthoum	Singa	Kashm	Tsengh	Ozentari	Tana	Roseires	GERD	SouthWest	Victoria
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	74.72273	389.91762	145.00441	31.36321	245.80111	15996.78590	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	334.80082	120.22453	26.05424	149.72083	19492.66732	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	281.13018	114.19821	9.25151	35.31758	21480.06737	61.02270
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	273.51612	180.13045	9.33940	206.15337	21384.33947	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	36.39608	507.51809	210.83197	0.00000	161.84151	18448.75909	0.00000
0.00000	0.00000	0.00000	0.00000	10.93676	0.00000	0.00000	605.26993	246.81706	96.03008	597.96272	18132.21869	0.00000
0.00000	0.00000	0.00000	195.95457	426.99034	0.00000	0.00000	621.63675	344.79771	126.50128	1032.99152	20690.68316	0.00000
0.00000	0.00000	0.00000	33.68632	372.70862	179.80266	102.38092	616.60958	452.36444	103.23269	1323.24727	20650.23893	0.00000
0.00000	0.00000	0.00000	0.00000	567.86063	176.23679	225.54126	597.96269	542.05494	141.12410	1599.32434	20951.27430	0.00000
0.00000	0.00000	0.00000	0.00000	464.55028	151.59065	208.91250	663.11932	566.79899	117.15298	1591.28066	24489.41995	0.00000
0.00000	0.00000	0.00000	209.47263	426.56209	94.89241	113.03055	949.01584	602.70262	102.78534	1853.71142	24544.52765	0.00000
0.00000	0.00000	0.00000	1417.61468	697.50961	34.88919	21.57199	927.37150	598.52516	191.52227	2327.27932	28597.77784	0.00000
0.00000	0.00000	0.00000	1288.42076	1277.09322	0.00000	0.00000	980.51942	643.46866	209.54037	2781.62841	32228.12882	0.00000
0.00000	0.00000	0.00000	931.03645	1298.84928	0.00000	49.87039	981.26131	750.51227	203.82408	3118.05403	33562.91338	0.00000
0.00000	0.00000	0.00000	505.80883	1101.13557	0.00000	159.01075	1130.46821	796.45641	170.35125	3106.67275	31115.64740	0.00000
0.00000	0.00000	0.00000	106.81617	1013.74217	0.00000	80.97338	1405.17246	798.70848	160.09819	3205.88559	29629.31814	0.00000
0.00000	0.00000	0.00000	414.50105	1280.86427	50.46237	191.52179	1791.92039	975.13229	157.28337	3747.55499	30619.83474	0.00000
0.00000	0.00000	90.06561	107.75862	1556.04987	78.29920	307.48801	1960.18624	1170.37732	138.48572	4207.34916	34036.07418	0.00000
0.00000	0.00000	340.89952	1486.34629	2448.51408	114.66207	496.21446	1941.17546	1154.08064	192.47253	4487.28585	34324.38180	0.00000
0.00000	0.00000	106.30958	1339.83616	2337.10004	93.72017	623.10735	2044.45404	1160.52042	184.13549	5170.13518	34733.03096	0.00000
0.00000	0.00000	0.00000	1652.49044	2751.68629	166.02813	927.59966	2044.91680	1188.98630	254.51593	5777.94980	40775.75297	0.00000
0.00000	0.00000	704.13533	2461.79548	3517.06625	204.78511	1058.91181	2091.34761	1356.68040	232.10586	6518.35582	41872.25415	83.12667
0.00000	0.00000	695.83901	3041.22294	3403.77782	217.14685	992.77104	5152.55319	1462.68665	225.24221	7055.00381	44955.67307	0.00000
0.00000	0.00000	195.97068	2907.16246	3330.93146	184.75322	1070.42974	2890.61388	1425.72907	212.32076	7529.28360	47517.75042	15.25580
0.00000	0.00000	43.42037	2880.76730	3084.55594	131.26253	1064.86708	3042.07827	1439.24192	214.98479	7822.27584	47715.14662	0.00000
0.00000	0.00000	0.00000	2554.31901	3105.69127	160.42209	1546.80932	10067.31682	1438.81563	235.91835	8468.02225	47338.12006	0.00000
0.00000	0.00000	0.00000	2858.28565	3592.45427	222.70803	1637.80251	2160.24065	1485.24697	294.49483	8628.59217	49393.77011	0.00000
0.00000	0.00000	695.06932	2737.72598	3603.92956	209.45210	1752.39712	3352.35350	3916.69210	300.75061	8757.76836	48151.02752	0.00000
0.00000	0.00000	1021.67401	2731.73387	3708.53902	230.90869	2223.95314	3538.34321	2570.81691	280.19737	9037.27027	47963.68184	0.00000
0.00000	0.00000	1125.89638	2459.48701	3445.70352	242.87158	2205.14865	9682.92297	1550.86594	243.52055	9285.82546	45135.51137	0.00000
0.00000	0.00000	746.35963	2282.95602	3348.92231	278.41299	2188.61870	5514.91255	1583.49490	223.05745	9499.35762	47030.32775	0.00000
0.00000	0.00000	331.00811	1932.98671	3347.72361	223.07067	2069.17429	3182.63384	2224.76982	197.34830	9963.09201	46326.84756	0.00000
0.00000	0.00000	126.97166	1641.79632	3005.51887	179.25515	2010.54373	8772.04798	1561.58325	178.85860	10168.79947	45345.10161	0.00000
