date,water_m3_day
1988-08-10,260033351.587200
1988-08-11,259174427.414400
1988-08-12,258450278.428800
1988-08-13,257868380.131200
1988-08-14,257436138.556800
1988-08-15,257149413.849600
1988-08-16,256960588.032000
1988-08-17,256825892.851200
1988-08-18,256741935.724800
1988-08-19,256705255.209600
1988-08-20,256712331.542400
1988-08-21,256759596.144000
1988-08-22,256843442.419200
1988-08-23,256960234.828800
1988-08-24,257106317.270400
1988-08-25,257278021.632000
1988-08-26,257471676.345600
1988-08-27,257683613.212800
1988-08-28,257910174.057600
1988-08-29,258147718.934400
1988-08-30,258392630.448000
1988-08-31,258641319.542400
1988-09-01,258890232.326400
1988-09-02,259135852.665600
1988-09-03,259374707.712000
1988-09-04,259603371.792000
1988-09-05,259818468.307200
1988-09-06,260016674.486400
1988-09-07,260194721.990400
1988-09-08,260349400.627200
1988-09-09,260477558.006400
1988-09-10,260576102.390400
1988-09-11,260642001.571200
1988-09-12,260672283.475200
1988-09-13,260664036.768000
1988-09-14,260614408.953600
1988-09-15,260468240.371200
1988-09-16,260180909.654400
1988-09-17,259766463.024000
1988-09-18,259234103.030400
1988-09-19,258593061.600000
1988-09-20,257852573.510400
1988-09-21,257021850.556800
1988-09-22,256110060.384000
1988-09-23,255126307.046400
1988-09-24,254079612.172800
1988-09-25,252978901.315200
1988-09-26,251832989.520000
1988-09-27,250650571.478400
1988-09-28,249440213.491200
1988-09-29,248210346.124800
1988-09-30,246969262.224000
1988-10-01,245725113.715200
1988-10-02,244485914.112000
1988-10-03,243259539.552000
1988-10-04,242053736.745600
1988-10-05,240876128.505600
1988-10-06,239734225.324800
1988-10-07,238635436.262400
1988-10-08,237587085.273600
1988-10-09,236596426.502400
1988-10-10,235670664.326400
1988-10-11,234816975.216000
1988-10-12,234042530.630400
1988-10-13,233354522.937600
1988-10-14,232760195.827200
1988-10-15,232196821.344000
1988-10-16,231727152.153600
1988-10-17,231464076.854400
1988-10-18,231384720.441600
1988-10-19,231466641.465600
1988-10-20,231687980.467200
1988-10-21,232027597.008000
1988-10-22,232465187.865600
1988-10-23,232981392.182400
1988-10-24,233557879.075200
1988-10-25,234177421.593600
1988-10-26,234823954.089600
1988-10-27,235482614.294400
1988-10-28,236139768.633600
1988-10-29,236783025.705600
1988-10-30,237401229.369600
1988-10-31,237984440.688000
1988-11-01,238523901.120000
1988-11-02,239011981.459200
1988-11-03,239442116.601600
1988-11-04,239808722.169600
1988-11-05,240107097.657600
1988-11-06,240333313.075200
1988-11-07,240484080.384000
1988-11-08,240556608.950400
1988-11-09,240548447.692800
1988-11-10,240457307.616000
1988-11-11,240280872.163200
1988-11-12,240016592.102400
1988-11-13,239661461.923200
1988-11-14,239211783.532800
1988-11-15,238632513.436800
1988-11-16,237978125.280000
1988-11-17,237342652.416000
1988-11-18,236728116.691200
1988-11-19,236136388.060800
1988-11-20,235569208.953600
1988-11-21,235028216.476800
1988-11-22,234514964.793600
1988-11-23,234030944.390400
1988-11-24,233577602.812800
1988-11-25,233156362.636800
1988-11-26,232768638.316800
1988-11-27,232415852.688000
1988-11-28,232099450.963200
1988-11-29,231820916.544000
1988-11-30,231581781.907200
1988-12-01,231383641.219200
1988-12-02,231228160.790400
1988-12-03,231117088.147200
1988-12-04,231052260.672000
1988-12-05,231035613.120000
1988-12-06,231069182.457600
1988-12-07,231155114.428800
1988-12-08,231295666.320000
1988-12-09,231493210.329600
1988-12-10,231750235.209600
1988-12-11,232069346.611200
1988-12-12,232453265.702400
1988-12-13,232904829.254400
1988-12-14,233426985.753600
1988-12-15,234028205.769600
1988-12-16,234694717.488000
1988-12-17,235403589.052800
1988-12-18,236153958.710400
1988-12-19,236944922.544000
1988-12-20,237775534.560000
1988-12-21,238644807.292800
1988-12-22,239551710.768000
1988-12-23,240495173.107200
1988-12-24,241474081.996800
1988-12-25,242487282.355200
1988-12-26,243533578.320000
1988-12-27,244611732.556800
1988-12-28,245720466.259200
1988-12-29,246858459.840000
1988-12-30,248024352.758400
1988-12-31,249216743.260800
1989-01-01,252013613.558400
1989-01-02,253252185.120000
1989-01-03,254491639.689600
1989-01-04,255729379.564800
1989-01-05,256962754.166400
1989-01-06,258189062.716800
1989-01-07,259405557.436800
1989-01-08,260609447.779200
1989-01-09,261797903.884800
1989-01-10,262968058.656000
1989-01-11,264117013.977600
1989-01-12,265241844.604800
1989-01-13,266339601.100800
1989-01-14,267407316.576000
1989-01-15,268442010.057600
1989-01-16,269514433.123200
1989-01-17,270692569.008000
1989-01-18,271969258.780800
1989-01-19,273337315.948800
1989-01-20,274789524.211200
1989-01-21,276318633.225600
1989-01-22,277917359.040000
1989-01-23,279578380.118400
1989-01-24,281294336.563200
1989-01-25,283057829.510400
1989-01-26,284861420.438400
1989-01-27,286697629.872000
1989-01-28,288558938.678400
1989-01-29,290437787.635200
1989-01-30,292326578.553600
1989-01-31,294217675.401600
1989-02-01,296103405.945600
1989-02-02,297976063.392000
1989-02-03,299827908.547200
1989-02-04,301651173.273600
1989-02-05,303438062.044800
1989-02-06,305180757.043200
1989-02-07,306871420.233600
1989-02-08,308502198.460800
1989-02-09,310065228.028800
1989-02-10,311552638.243200
1989-02-11,312956558.928000
1989-02-12,314269123.276800
1989-02-13,315482475.628800
1989-02-14,316588777.776000
1989-02-15,317580213.974400
1989-02-16,318476123.827200
1989-02-17,319302744.940800
1989-02-18,320062663.267200
1989-02-19,320758504.416000
1989-02-20,321392928.124800
1989-02-21,321968622.902400
1989-02-22,322488304.560000
1989-02-23,322954710.508800
1989-02-24,323370597.081600
1989-02-25,323738736.249600
1989-02-26,324061913.289600
1989-02-27,324342924.537600
1989-02-28,324584573.846400
1989-03-01,324789673.190400
1989-03-02,324961039.036800
1989-03-03,325101491.740800
1989-03-04,325213855.804800
1989-03-05,325300957.200000
1989-03-06,325365625.526400
1989-03-07,325410691.852800
1989-03-08,325438990.704000
1989-03-09,325453360.233600
1989-03-10,325456642.656000
1989-03-11,325451686.147200
1989-03-12,325441346.659200
1989-03-13,325428489.129600
1989-03-14,325415990.332800
1989-03-15,325406740.780800
1989-03-16,325287179.164800
1989-03-17,324951733.584000
1989-03-18,324415389.168000
1989-03-19,323693249.673600
1989-03-20,322800522.364800
1989-03-21,321752502.720000
1989-03-22,320564562.249600
1989-03-23,319252132.252800
